JJOO,AÑO,DEPORTE,DISCIPLINA,CATEGORÍA,N° MUJERES,N° HOMBRES,MEDALLA
Berlín,1936,Atletismo,100m,Femenino,30,0,SI
Berlín,1936,Atletismo,100m,Masculino,0,63,SI
Berlín,1936,Deportes Acuáticos,Natación 100m libres,Femenino,33,0,SI
Berlín,1936,Deportes Acuáticos,Natación 100m libres,Masculino,0,45,SI
Berlín,1936,Gimnasia,Gimnasia Artística Equipo,Femenino,64,0,SI
Berlín,1936,Gimnasia,Gimnasia Artística Equipo,Masculino,0,111,SI
Los Ángeles,1932,Atletismo,100m,Femenino,20,0,SI
Los Ángeles,1932,Atletismo,100m,Masculino,0,33,SI
Los Ángeles,1932,Deportes Acuáticos,Natación 100m libres,Femenino,20,0,SI
Los Ángeles,1932,Deportes Acuáticos,Natación 100m libres,Masculino,0,22,SI
Ámsterdam,1928,Atletismo,100m,Femenino,31,0,SI
Ámsterdam,1928,Atletismo,100m,Masculino,0,71,SI
Ámsterdam,1928,Gimnasia,Gimnasia Artística Equipo,Femenino,60,0,SI
Ámsterdam,1928,Gimnasia,Gimnasia Artística Equipo,Masculino,0,88,SI
París,1924,Atletismo,100m,Masculino,0,86,SI
París,1924,Tenis,Individuales,Femenino,31,0,SI
París,1924,Tenis,Individuales,Masculino,0,82,SI
París,1924,Deportes Acuáticos,Natación 100m libres,Femenino,16,0,SI
Amberes,1920,Atletismo,100m,Masculino,0,61,SI
Amberes,1920,Tenis,Individuales,Femenino,18,0,SI
Amberes,1920,Tenis,Individuales,Masculino,0,41,SI
Amberes,1920,Deportes Acuáticos,Natación 100m libres,Femenino,19,0,SI
Estocolmo,1912,Deportes Acuáticos,Natación 100m libres,Femenino,27,0,SI
Estocolmo,1912,Deportes Acuáticos,Natación 100m libres,Masculino,0,34,SI
Estocolmo,1912,Atletismo,100m,Masculino,0,68,SI
Estocolmo,1912,Tenis,Individuales,Femenino,8,0,SI
Estocolmo,1912,Tenis,Individuales,Masculino,0,49,SI
Londres,1908,Atletismo,100m,Masculino,0,60,SI
Londres,1908,Tenis,Individuales,Femenino,5,0,SI
Londres,1908,Tenis,Individuales,Masculino,0,31,SI
Londres,1908,Tiro con arco,Ronda Nacional,Femenino,25,0,SI
San Luis,1904,Tiro con arco,Doble ronda,Femenino,6,0,SI
San Luis,1904,Tiro con arco,Doble ronda,Masculino,0,16,SI
San Luis,1904,Atletismo,100m,Masculino,0,11,SI
París,1900,Tenis,Individuales,Femenino,6,0,SI
París,1900,Tenis,Individuales,Masculino,0,13,SI
París,1900,Golf,Individual,Femenino,10,0,SI
París,1900,Golf,Individual,Masculino,0,12,SI
París,1900,Atletismo,100m,Masculino,0,20,SI
