JJOO,AÑO,DEPORTE,DISCIPLINA,CATEGORÍA,N° MUJERES,N° HOMBRES ,MEDALLA
París,2024,Fútbol,Fútbol,Femenino y Masculino,216,288,Sí
París,2024,Atletismo,Atletismo,Femenino y Masculino,905,905,Sí
París,2024,Deportes Acuáticos,Waterpolo,Femenino y Masculino,110,135,Sí
París,2024,Deportes Acuáticos,Natación Artística,Femenino,99,0,Sí
París,2024,Deportes Acuáticos,Natación ,Femenino y Masculino,426,426,Sí
París,2024,Deportes Acuáticos,Aguas Abiertas,Femenino y Masculino,22,22,Sí
París,2024,Deportes Acuáticos,Surf,Femenino y Masculino,24,24,Sí
París,2024,Deportes Acuáticos,Piraguismo,Femenino y Masculino,118,118,Sí
París,2024,Deportes Acuáticos,Vela,Femenino y Masculino,165,165,Sí
París,2024,Deportes Acuáticos,Remo,Femenino y Masculino,251,251,Sí
París,2024,Gimnasia,Gimnasia Rítmica,Femenino ,94,0,Sí
París,2024,Gimnasia,Gimnasia Artística,Femenino y Masculino,96,96,Sí
París,2024,Gimnasia,Gimnasia Trampolín,Femenino y Masculino,8,8,Sí
París,2024,Lucha,Lucha grecoromana ,Masculino,0,96,Sí
París,2024,Lucha,Lucha libre,Femenino y Masculino,96,96,Sí
París,2024,Ciclismo,Ciclismo en Ruta,Femenino y Masculino,90,90,Sí
París,2024,Ciclismo,Ciclismo de Pista,Femenino y Masculino,95,95,Sí
París,2024,Ciclismo,BMX Freestyle,Femenino y Masculino,12,12,Sí
París,2024,Ciclismo,BMX Racing,Femenino y Masculino,24,24,Sí
París,2024,Ciclismo,Mountain Bike,Femenino y Masculino,36,36,Sí
París,2024,Bádminton,Bádminton,Femenino y Masculino,86,86,Sí
París,2024,Baloncesto,Baloncesto (5x5),Femenino y Masculino,144,144,Sí
París,2024,Baloncesto,Baloncesto 3x3,Femenino y Masculino,32,32,Sí
París,2024,Balonmano,Balonmano,Femenino y Masculino,168,168,Sí
París,2024,Boxeo,Boxeo,Femenino y Masculino,124,124,Sí
París,2024,Breaking,Breaking,Femenino y Masculino,16,16,Sí
París,2024,Deportes Ecuestres,Adiestramiento,Mixto,30,30,Sí
París,2024,Deportes Ecuestres,Concurso Completo,Mixto,32,32,Sí
París,2024,Deportes Ecuestres,Salto,Mixto,37,37,Sí
París,2024,Escalada Deportiva,Escalada Deportiva,Femenino y Masculino,34,34,Sí
París,2024,Esgrima,Esgrima,Femenino y Masculino,106,106,Sí
París,2024,Golf,Golf,Femenino y Masculino,60,60,Sí
París,2024,Halterofilia,Halterofilia,Femenino y Masculino,60,60,Sí
París,2024,Hockey sobre Césped,Hockey sobre Césped,Femenino y Masculino,192,192,Sí
París,2024,Judo,Judo,Femenino y Masculino,186,186,Sí
París,2024,Pentatlón Moderno,Pentatlón Moderno,Femenino y Masculino,36,36,Sí
París,2024,Rugby 7,Rugby 7,Femenino y Masculino,144,144,Sí
París,2024,Skateboarding,Skateboarding,Femenino y Masculino,44,44,Sí
París,2024,Taekwondo,Taekwondo,Femenino y Masculino,64,64,Sí
París,2024,Tenis,Tenis,Femenino y Masculino,86,86,Sí
París,2024,Tenis de Mesa,Tenis de Mesa,Femenino y Masculino,86,86,Sí
París,2024,Tiro,Tiro Deportivo,Femenino y Masculino,170,170,Sí
París,2024,Tiro con Arco,Tiro con Arco,Femenino y Masculino,64,64,Sí
París,2024,Triatlón,Triatlón,Femenino y Masculino,55,55,Sí
París,2024,Voleibol,Voleibol de Sala,Femenino y Masculino,144,144,Sí
París,2024,Voleibol,Voleibol de Playa,Femenino y Masculino,48,48,Sí
Tokio,2020,Atletismo,Atletismo,Femenino y Masculino,925,983,Sí
Tokio,2020,Bádminton,Bádminton,Femenino y Masculino,86,86,Sí
Tokio,2020,Baloncesto,Baloncesto (5x5),Femenino y Masculino,144,144,Sí
Tokio,2020,Baloncesto,Baloncesto 3x3,Femenino y Masculino,32,32,Sí
Tokio,2020,Balonmano,Balonmano,Femenino y Masculino,168,168,Sí
Tokio,2020,Béisbol/Sóftbol,Béisbol,Masculino,0,144,Sí
Tokio,2020,Béisbol/Sóftbol,Sóftbol,Femenino,90,0,Sí
Tokio,2020,Boxeo,Boxeo,Femenino y Masculino,100,186,Sí
Tokio,2020,Ciclismo,BMX Freestyle,Femenino y Masculino,9,9,Sí
Tokio,2020,Ciclismo,BMX Racing,Femenino y Masculino,24,24,Sí
Tokio,2020,Ciclismo,Ciclismo de Pista,Femenino y Masculino,89,99,Sí
Tokio,2020,Ciclismo,Ciclismo en Ruta,Femenino y Masculino,67,130,Sí
Tokio,2020,Ciclismo,Mountain Bike,Femenino y Masculino,38,38,Sí
Tokio,2020,Deportes Acuáticos,Aguas Abiertas,Femenino y Masculino,25,25,Sí
Tokio,2020,Deportes Acuáticos,Natación,Femenino y Masculino,438,441,Sí
Tokio,2020,Deportes Acuáticos,Natación Artística,Femenino,104,0,Sí
Tokio,2020,Deportes Acuáticos,Piragüismo Esprint,Femenino y Masculino,123,125,Sí
Tokio,2020,Deportes Acuáticos,Piragüismo Eslalon,Femenino y Masculino,41,41,Sí
Tokio,2020,Deportes Acuáticos,Remo,Femenino y Masculino,263,263,Sí
Tokio,2020,Deportes Acuáticos,Saltos (Clavados),Femenino y Masculino,71,72,Sí
Tokio,2020,Deportes Acuáticos,Surf,Femenino y Masculino,20,20,Sí
Tokio,2020,Deportes Acuáticos,Vela,Femenino y Masculino,175,175,Sí
Tokio,2020,Deportes Acuáticos,Waterpolo,Femenino y Masculino,110,156,Sí
Tokio,2020,Deportes Ecuestres,Adiestramiento,Mixto,30,30,Sí
Tokio,2020,Deportes Ecuestres,Concurso Completo,Mixto,32,32,Sí
Tokio,2020,Deportes Ecuestres,Salto,Mixto,37,37,Sí
Tokio,2020,Escalada Deportiva,Escalada Deportiva,Femenino y Masculino,20,20,Sí
Tokio,2020,Esgrima,Esgrima,Femenino y Masculino,106,106,Sí
Tokio,2020,Fútbol,Fútbol,Femenino y Masculino,216,288,Sí
Tokio,2020,Gimnasia,Gimnasia Artística,Femenino y Masculino,98,98,Sí
Tokio,2020,Gimnasia,Gimnasia Rítmica,Femenino,96,0,Sí
Tokio,2020,Gimnasia,Gimnasia Trampolín,Femenino y Masculino,16,16,Sí
Tokio,2020,Golf,Golf,Femenino y Masculino,60,60,Sí
Tokio,2020,Halterofilia,Halterofilia,Femenino y Masculino,98,98,Sí
Tokio,2020,Hockey sobre Césped,Hockey sobre Césped,Femenino y Masculino,192,192,Sí
Tokio,2020,Judo,Judo,Femenino y Masculino,193,200,Sí
Tokio,2020,Karate,Kata,Femenino y Masculino,10,10,Sí
Tokio,2020,Karate,Kumite,Femenino y Masculino,30,30,Sí
Tokio,2020,Lucha,Lucha Greco-romana,Masculino,0,96,Sí
Tokio,2020,Lucha,Lucha Libre,Femenino y Masculino,96,96,Sí
Tokio,2020,Pentatlón Moderno,Pentatlón Moderno,Femenino y Masculino,36,36,Sí
Tokio,2020,Rugby 7,Rugby 7,Femenino y Masculino,144,144,Sí
Tokio,2020,Skateboarding,Skateboarding,Femenino y Masculino,40,40,Sí
Tokio,2020,Taekwondo,Taekwondo,Femenino y Masculino,65,65,Sí
Tokio,2020,Tenis,Tenis,Femenino y Masculino,94,97,Sí
Tokio,2020,Tenis de Mesa,Tenis de Mesa,Femenino y Masculino,86,86,Sí
Tokio,2020,Tiro,Tiro Deportivo,Femenino y Masculino,178,178,Sí
Tokio,2020,Tiro con Arco,Tiro con Arco,Femenino y Masculino,64,64,Sí
Tokio,2020,Triatlón,Triatlón,Femenino y Masculino,55,55,Sí
Tokio,2020,Voleibol,Voleibol de Playa,Femenino y Masculino,48,48,Sí
Tokio,2020,Voleibol,Voleibol de Sala,Femenino y Masculino,144,144,Sí
Río de Janeiro,2016,Atletismo,Atletismo,Femenino y Masculino,1086,1198,Sí
Río de Janeiro,2016,Bádminton,Bádminton,Femenino y Masculino,86,86,Sí
Río de Janeiro,2016,Baloncesto,Baloncesto,Femenino y Masculino,144,144,Sí
Río de Janeiro,2016,Balonmano,Balonmano,Femenino y Masculino,168,168,Sí
Río de Janeiro,2016,Boxeo,Boxeo,Femenino y Masculino,36,250,Sí
Río de Janeiro,2016,Ciclismo,BMX Racing,Femenino y Masculino,16,32,Sí
Río de Janeiro,2016,Ciclismo,Ciclismo de Pista,Femenino y Masculino,89,100,Sí
Río de Janeiro,2016,Ciclismo,Ciclismo en Ruta,Femenino y Masculino,67,144,Sí
Río de Janeiro,2016,Ciclismo,Mountain Bike,Femenino y Masculino,30,50,Sí
Río de Janeiro,2016,Deportes Acuáticos,Aguas Abiertas,Femenino y Masculino,25,25,Sí
Río de Janeiro,2016,Deportes Acuáticos,Natación,Femenino y Masculino,420,470,Sí
Río de Janeiro,2016,Deportes Acuáticos,Natación Sincronizada,Femenino,104,0,Sí
Río de Janeiro,2016,Deportes Acuáticos,Piragüismo Esprint,Femenino y Masculino,88,158,Sí
Río de Janeiro,2016,Deportes Acuáticos,Piragüismo Eslalon,Femenino y Masculino,21,61,Sí
Río de Janeiro,2016,Deportes Acuáticos,Remo,Femenino y Masculino,215,331,Sí
Río de Janeiro,2016,Deportes Acuáticos,Saltos (Clavados),Femenino y Masculino,68,68,Sí
Río de Janeiro,2016,Deportes Acuáticos,Vela,Femenino y Masculino,163,217,Sí
Río de Janeiro,2016,Deportes Acuáticos,Waterpolo,Femenino y Masculino,104,156,Sí
Río de Janeiro,2016,Deportes Ecuestres,Adiestramiento,Mixto,30,30,Sí
Río de Janeiro,2016,Deportes Ecuestres,Concurso Completo,Mixto,32,32,Sí
Río de Janeiro,2016,Deportes Ecuestres,Salto,Mixto,37,37,Sí
Río de Janeiro,2016,Esgrima,Esgrima,Femenino y Masculino,106,106,Sí
Río de Janeiro,2016,Fútbol,Fútbol,Femenino y Masculino,216,288,Sí
Río de Janeiro,2016,Gimnasia,Gimnasia Artística,Femenino y Masculino,98,98,Sí
Río de Janeiro,2016,Gimnasia,Gimnasia Rítmica,Femenino,96,0,Sí
Río de Janeiro,2016,Gimnasia,Gimnasia Trampolín,Femenino y Masculino,16,16,Sí
Río de Janeiro,2016,Golf,Golf,Femenino y Masculino,60,60,Sí
Río de Janeiro,2016,Halterofilia,Halterofilia,Femenino y Masculino,104,156,Sí
Río de Janeiro,2016,Hockey sobre Césped,Hockey sobre Césped,Femenino y Masculino,192,192,Sí
Río de Janeiro,2016,Judo,Judo,Femenino y Masculino,154,232,Sí
Río de Janeiro,2016,Lucha,Lucha Greco-romana,Masculino,0,114,Sí
Río de Janeiro,2016,Lucha,Lucha Libre,Femenino y Masculino,114,114,Sí
Río de Janeiro,2016,Pentatlón Moderno,Pentatlón Moderno,Femenino y Masculino,36,36,Sí
Río de Janeiro,2016,Rugby 7,Rugby 7,Femenino y Masculino,144,144,Sí
Río de Janeiro,2016,Taekwondo,Taekwondo,Femenino y Masculino,64,64,Sí
Río de Janeiro,2016,Tenis,Tenis,Femenino y Masculino,86,86,Sí
