JJOO,AÑO,DEPORTE,DISCIPLINA,CATEGORÍA,N° MUJERES,N° HOMBRES,MEDALLA
Londres,1948,Atletismo,Atletismo,Masculino,0,712,SI
Londres,1948,Atletismo,Atletismo,Femenino,199,0,SI
Londres,1948,Deportes Acuáticos,Natación,Masculino,0,252,SI
Londres,1948,Deportes Acuáticos,Natación,Femenino,232,0,SI
Londres,1948,Gimnasia,Gimnasia Artística,Masculino,0,147,SI
Londres,1948,Gimnasia,Gimnasia Artística,Femenino,86,0,SI
Londres,1948,Baloncesto,Baloncesto,Masculino,0,154,SI
Londres,1948,Halterofilia,Halterofilia,Masculino,0,126,SI
Helsinki,1952,Atletismo,Atletismo,Masculino,0,707,SI
Helsinki,1952,Atletismo,Atletismo,Femenino,392,0,SI
Helsinki,1952,Deportes Acuáticos,Natación,Masculino,0,280,SI
Helsinki,1952,Deportes Acuáticos,Natación,Femenino,195,0,SI
Helsinki,1952,Gimnasia,Gimnasia Artística,Masculino,0,116,SI
Helsinki,1952,Gimnasia,Gimnasia Artística,Femenino,119,0,SI
Helsinki,1952,Baloncesto,Baloncesto,Masculino,0,158,SI
Helsinki,1952,Halterofilia,Halterofilia,Masculino,0,146,SI
Melbourne,1956,Atletismo,Atletismo,Masculino,0,747,SI
Melbourne,1956,Atletismo,Atletismo,Femenino,343,0,SI
Melbourne,1956,Deportes Acuáticos,Natación,Masculino,0,212,SI
Melbourne,1956,Deportes Acuáticos,Natación,Femenino,236,0,SI
Melbourne,1956,Gimnasia,Gimnasia Artística,Masculino,0,139,SI
Melbourne,1956,Gimnasia,Gimnasia Artística,Femenino,97,0,SI
Melbourne,1956,Baloncesto,Baloncesto,Masculino,0,174,SI
Melbourne,1956,Halterofilia,Halterofilia,Masculino,0,167,SI
Roma,1960,Atletismo,Atletismo,Masculino,0,770,SI
Roma,1960,Atletismo,Atletismo,Femenino,237,0,SI
Roma,1960,Deportes Acuáticos,Natación,Masculino,0,329,SI
Roma,1960,Deportes Acuáticos,Natación,Femenino,153,0,SI
Roma,1960,Gimnasia,Gimnasia Artística,Masculino,0,104,SI
Roma,1960,Gimnasia,Gimnasia Artística,Femenino,125,0,SI
Roma,1960,Baloncesto,Baloncesto,Masculino,0,183,SI
Roma,1960,Halterofilia,Halterofilia,Masculino,0,159,SI
Tokio,1964,Atletismo,Atletismo,Masculino,0,746,SI
Tokio,1964,Atletismo,Atletismo,Femenino,393,0,SI
Tokio,1964,Deportes Acuáticos,Natación,Masculino,0,218,SI
Tokio,1964,Deportes Acuáticos,Natación,Femenino,215,0,SI
Tokio,1964,Gimnasia,Gimnasia Artística,Masculino,0,121,SI
Tokio,1964,Gimnasia,Gimnasia Artística,Femenino,82,0,SI
Tokio,1964,Baloncesto,Baloncesto,Masculino,0,181,SI
Tokio,1964,Voleibol,Voleibol,Masculino,0,140,SI
Tokio,1964,Voleibol,Voleibol,Femenino,94,0,SI
Tokio,1964,Halterofilia,Halterofilia,Masculino,0,160,SI
Ciudad de México,1968,Atletismo,Atletismo,Masculino,0,744,SI
Ciudad de México,1968,Atletismo,Atletismo,Femenino,288,0,SI
Ciudad de México,1968,Deportes Acuáticos,Natación,Masculino,0,202,SI
Ciudad de México,1968,Deportes Acuáticos,Natación,Femenino,177,0,SI
Ciudad de México,1968,Gimnasia,Gimnasia Artística,Masculino,0,147,SI
Ciudad de México,1968,Gimnasia,Gimnasia Artística,Femenino,117,0,SI
Ciudad de México,1968,Baloncesto,Baloncesto,Masculino,0,194,SI
Ciudad de México,1968,Voleibol,Voleibol,Masculino,0,118,SI
Ciudad de México,1968,Voleibol,Voleibol,Femenino,101,0,SI
Ciudad de México,1968,Halterofilia,Halterofilia,Masculino,0,171,SI
Múnich,1972,Atletismo,Atletismo,Masculino,0,686,SI
Múnich,1972,Atletismo,Atletismo,Femenino,285,0,SI
Múnich,1972,Deportes Acuáticos,Natación,Masculino,0,298,SI
Múnich,1972,Deportes Acuáticos,Natación,Femenino,156,0,SI
Múnich,1972,Gimnasia,Gimnasia Artística,Masculino,0,103,SI
Múnich,1972,Gimnasia,Gimnasia Artística,Femenino,127,0,SI
Múnich,1972,Baloncesto,Baloncesto,Masculino,0,155,SI
Múnich,1972,Voleibol,Voleibol,Masculino,0,127,SI
Múnich,1972,Voleibol,Voleibol,Femenino,92,0,SI
Múnich,1972,Halterofilia,Halterofilia,Masculino,0,170,SI
Montreal,1976,Atletismo,Atletismo,Masculino,0,689,SI
Montreal,1976,Atletismo,Atletismo,Femenino,367,0,SI
Montreal,1976,Deportes Acuáticos,Natación,Masculino,0,257,SI
Montreal,1976,Deportes Acuáticos,Natación,Femenino,233,0,SI
Montreal,1976,Gimnasia,Gimnasia Artística,Masculino,0,137,SI
Montreal,1976,Gimnasia,Gimnasia Artística,Femenino,117,0,SI
Montreal,1976,Baloncesto,Baloncesto,Masculino,0,150,SI
Montreal,1976,Baloncesto,Baloncesto,Femenino,87,0,SI
Montreal,1976,Voleibol,Voleibol,Masculino,0,138,SI
Montreal,1976,Voleibol,Voleibol,Femenino,101,0,SI
Montreal,1976,Halterofilia,Halterofilia,Masculino,0,116,SI
Moscú,1980,Atletismo,Atletismo,Masculino,0,759,SI
Moscú,1980,Atletismo,Atletismo,Femenino,125,0,SI
Moscú,1980,Deportes Acuáticos,Natación,Masculino,0,260,SI
Moscú,1980,Deportes Acuáticos,Natación,Femenino,167,0,SI
Moscú,1980,Gimnasia,Gimnasia Artística,Masculino,0,120,SI
Moscú,1980,Gimnasia,Gimnasia Artística,Femenino,121,0,SI
Moscú,1980,Baloncesto,Baloncesto,Masculino,0,180,SI
Moscú,1980,Baloncesto,Baloncesto,Femenino,74,0,SI
Moscú,1980,Voleibol,Voleibol,Masculino,0,148,SI
Moscú,1980,Voleibol,Voleibol,Femenino,109,0,SI
Moscú,1980,Halterofilia,Halterofilia,Masculino,0,166,SI
Los Ángeles,1984,Atletismo,Atletismo,Masculino,0,651,SI
Los Ángeles,1984,Atletismo,Atletismo,Femenino,208,0,SI
Los Ángeles,1984,Deportes Acuáticos,Natación,Masculino,0,275,SI
Los Ángeles,1984,Deportes Acuáticos,Natación,Femenino,264,0,SI
Los Ángeles,1984,Gimnasia,Gimnasia Artística,Masculino,0,128,SI
Los Ángeles,1984,Gimnasia,Gimnasia Artística,Femenino,116,0,SI
Los Ángeles,1984,Baloncesto,Baloncesto,Masculino,0,180,SI
Los Ángeles,1984,Baloncesto,Baloncesto,Femenino,97,0,SI
Los Ángeles,1984,Voleibol,Voleibol,Masculino,0,100,SI
Los Ángeles,1984,Voleibol,Voleibol,Femenino,84,0,SI
Los Ángeles,1984,Halterofilia,Halterofilia,Masculino,0,153,SI
