Disciplina JO 2024, N° Hombres, N° Mujeres,Brecha en %,,,Disciplina JO 2024, % Hombres,% Mujeres,Brecha en %,
Lucha,192,96,,Más Hombres,,Lucha,66.70%,"33,3%",33.40%,Más Hombres
Fútbol,288,216,,Más Hombres,,Fútbol,57.14%,42.86%,14.28%,Más Hombres
Waterpolo,135,110,,Más Hombres,,Waterpolo,"55,1%","44,9%",10.20%,
Natación Artistica,0,99,100%,SOLO MUJERES,,Natación Artistica,0%,100%,100%,SOLO MUJERES
Freestyle,96,96,0%,,,Freestyle,50%,50%,0%,
Gimnasia Rítmica,0,94,100%,SOLO MUJERES,,Gimnasia Rítmica,0%,100%,100%,SOLO MUJERES
Atletismo,905,905,0%,,,Atletismo,50%,50%,0%,
Ciclismo,257,257,0%,,,Ciclismo,50%,50%,0%,
Remo,251,251,0%,,,Remo,50%,50%,0%,
Hockey de cesped,192,192,0%,,,Hockey de cesped,50%,50%,0%,
Voleibol,144,144,0%,,,Voleibol,50%,50%,0%,
Judo,136,136,0%,,,Judo,50%,50%,0%,
Tiro Olímpico,170,170,0%,,,Tiro Olímpico,50%,50%,0%,
Balonmano,168,168,0%,,,Balonmano,50%,50%,0%,
Vela,165,165,0%,,,Vela,50%,50%,0%,
Piragüismo,118,118,0%,,,Piragüismo,50%,50%,0%,
Gimnasia Artística,96,96,0%,,,Gimnasia Artística,50%,50%,0%,
Rugby 7,144,144,0%,,,Rugby 7,50%,50%,0%,
Esgrima,106,106,0%,,,Esgrima,50%,50%,0%,
Bádminton,86,86,0%,,,Bádminton,50%,50%,0%,
Tenis de Mesa,86,86,0%,,,Tenis de Mesa,50%,50%,0%,
Tenis ,86,86,0%,,,Tenis ,50%,50%,0%,
Tiro con Arco,64,64,0%,,,Tiro con Arco,50%,50%,0%,
Taekwondo,64,64,0%,,,Taekwondo,50%,50%,0%,
Boxeo,124,124,0%,,,Boxeo,50%,50%,0%,
Golf,60,60,0%,,,Golf,50%,50%,0%,
Halterofilia,60,60,0%,,,Halterofilia,50%,50%,0%,
Triatlón,55,55,0%,,,Triatlón,50%,50%,0%,
Skateboarding,44,44,0%,,,Skateboarding,50%,50%,0%,
Pentatlón Moderno,36,36,0%,,,Pentatlón Moderno,50%,50%,0%,
Escalada Deportiva,34,34,0%,,,Escalada Deportiva,50%,50%,0%,
Natación ,426,426,0%,,,Natación ,50%,50%,0%,
Saltos,68,68,0%,,,Saltos,50%,50%,0%,
Aguas Abiertas,22,22,0%,,,Aguas Abiertas,50%,50%,0%,
Surf,24,24,0%,,,Surf,50%,50%,0%,
Gimnasia Trampolín,8,8,0%,,,Gimnasia Trampolín,50%,50%,0%,
Breaking,16,16,0%,,,Breaking,50%,50%,0%,
Hípica,100,100,0%,,,Hípica,50%,50%,0%,
Baloncesto,144,144,0%,,,Baloncesto,50%,50%,0%,
Voleibol Playa,48,48,0%,,,Voleibol Playa,50%,50%,0%,
Baloncesto 3x3,32,32,0%,,,Baloncesto 3x3,50%,50%,0%,
,5250,5250,,,,,,,,
